Location,Date,Temperature,Humidity,Wind Chill,Wind Direction,Wind Speed
"Conditions for Beaverton, OR at 12:52 am PST","Fri, 06 Dec 2013 12:52 am PST",-2,39,-8,80,20.92
"Conditions for Beaverton, OR at 1:53 am PST","Fri, 06 Dec 2013 1:53 am PST",-2,39,-7,90,16.09
"Conditions for Beaverton, OR at 9:53 am PST","Fri, 06 Dec 2013 9:53 am PST",-4,63,-12,70,32.19
"Conditions for Beaverton, OR at 10:53 am PST","Fri, 06 Dec 2013 10:53 am PST",-3,56,-10,70,25.75
"Conditions for Beaverton, OR at 11:53 am PST","Fri, 06 Dec 2013 11:53 am PST",-3,46,-11,70,33.8
"Conditions for Beaverton, OR at 12:53 pm PST","Fri, 06 Dec 2013 12:53 pm PST",-2,41,-9,60,27.36
"Conditions for Beaverton, OR at 1:52 pm PST","Fri, 06 Dec 2013 1:52 pm PST",-2,39,-9,70,32.19
"Conditions for Beaverton, OR at 2:52 pm PST","Fri, 06 Dec 2013 2:52 pm PST",-2,37,-9,60,35.4
"Conditions for Beaverton, OR at 3:52 pm PST","Fri, 06 Dec 2013 3:52 pm PST",-2,39,-11,60,41.84
"Conditions for Beaverton, OR at 4:52 pm PST","Fri, 06 Dec 2013 4:52 pm PST",-3,41,-9,60,22.53
"Conditions for Beaverton, OR at 5:53 pm PST","Fri, 06 Dec 2013 5:53 pm PST",-3,41,-11,60,32.19
"Conditions for Beaverton, OR at 6:53 pm PST","Fri, 06 Dec 2013 6:53 pm PST",-3,41,-11,60,28.97
"Conditions for Beaverton, OR at 7:53 pm PST","Fri, 06 Dec 2013 7:53 pm PST",-3,41,-11,60,27.36
"Conditions for Beaverton, OR at 9:52 pm PST","Fri, 06 Dec 2013 9:52 pm PST",-3,39,-9,60,20.92
"Conditions for Beaverton, OR at 3:52 pm PDT","Fri, 12 Sep 2014 3:52 pm PDT",28,17.0,28,40,11.27
"Conditions for Beaverton, OR at 3:52 pm PDT","Fri, 12 Sep 2014 3:52 pm PDT",28,17.0,28,40,11.27
"Conditions for Beaverton, OR at 3:52 pm PDT","Fri, 12 Sep 2014 3:52 pm PDT",28,17.0,28,40,11.27
"Conditions for Beaverton, OR at 3:52 pm PDT","Fri, 12 Sep 2014 3:52 pm PDT",28,17.0,28,40,11.27
"Conditions for Beaverton, OR at 3:52 pm PDT","Fri, 12 Sep 2014 3:52 pm PDT",28,17.0,28,40,11.27
"Conditions for Beaverton, OR at 3:52 pm PDT","Fri, 12 Sep 2014 3:52 pm PDT",28,17.0,28,40,11.27
"Conditions for Beaverton, OR at 3:52 pm PDT","Fri, 12 Sep 2014 3:52 pm PDT",28,17.0,28,40,11.27
